date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:00	142999/142999	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:50%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/index.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/index.html	(from )
11:58:01	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Tue,%2022%20Oct%202019%2006:28:02%20GMT	http://demo.hasthemes.com/robots.txt		(from )
11:58:02	417055/417055	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Jan%202019%2012:47:11%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/css/plugins.css	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/css/plugins.css	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:03	1150/1150	---M--	200	added ('OK')	application/octet-stream	etag:%229c9a750812bab056b475fb9cc078f51e%22	http://demo.hasthemes.com/petmark-v5/petmark/image/favicon.ico	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/favicon.ico	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:03	240168/240168	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Jan%202019%2012:47:09%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/css/main.css	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/css/main.css	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:03	7511/7511	---M--	200	added ('OK')	image/png	etag:%2243544eb48f1debb7ac50aed9bd1762b1%22	http://demo.hasthemes.com/petmark-v5/petmark/image/main-logo.png	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/main-logo.png	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:03	37536/37536	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:47%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/cart.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/cart.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:03	29702/29702	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:50%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/login-register.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/login-register.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:05	137020/137020	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:49%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/index-2.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/index-2.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:05	121111/121111	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:49%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/index-3.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/index-3.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:06	54269/54269	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:56%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/shop.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/shop.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:06	121872/121872	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:49%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/index-4.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/index-4.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:07	33252/33252	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:43%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/about-us.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/about-us.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:08	33077/33077	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:43%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/about-us-2.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/about-us-2.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:09	35684/35684	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:48%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/contact.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/contact.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:10	36196/36196	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:48%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/contact-2.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/contact-2.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:11	38143/38143	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:54%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/service.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/service.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:12	45234/45234	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:54%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/service-2.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/service-2.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:13	35970/35970	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:48%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/faq.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/faq.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:14	36680/36680	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:47%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/checkout.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/checkout.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:14	28244/28244	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:43%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/404.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/404.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:14	33742/33742	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:56%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/wishlist.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/wishlist.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:16	34968/34968	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:47%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/compare.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/compare.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:17	34819/34819	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:50%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/my-account.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/my-account.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:18	46337/46337	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:51%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/portfolio.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/portfolio.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:19	35379/35379	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:46%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/blog.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/blog.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:20	38133/38133	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:45%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/blog-left-sidebar.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/blog-left-sidebar.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:21	36774/36774	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:46%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/blog-right-sidebar.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/blog-right-sidebar.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:21	38988/38988	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:46%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/blog-list.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/blog-list.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:21	41690/41690	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:45%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/blog-list-left-sidebar.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/blog-list-left-sidebar.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:22	40338/40338	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:46%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/blog-list-right-sidebar.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/blog-list-right-sidebar.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:23	37721/37721	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:45%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/blog-details.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/blog-details.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:25	43483/43483	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:44%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/blog-details-left-sidebar.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/blog-details-left-sidebar.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
